person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,case_id,actual_default,default_prob,decision_score,profit_threshold,model_decision,default_05_decision,explanation_seed
26,68399,MORTGAGE,7.0,PERSONAL,A,10500,6.91,0.15,N,3,case_0000,0,0.11372505524164978,551.0762938679017,1670.0,approve,approve,"Applicant case_0000 was approve by the profit-based decision layer. The predicted default probability is 0.114. The decision score is 551.08, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
32,70000,MORTGAGE,16.0,HOMEIMPROVEMENT,A,9000,7.14,0.13,N,10,case_0001,0,0.18215881661279795,1113.8846050705656,1670.0,approve,approve,"Applicant case_0001 was approve by the profit-based decision layer. The predicted default probability is 0.182. The decision score is 1113.88, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
32,110888,MORTGAGE,0.0,MEDICAL,B,10400,9.91,0.09,N,6,case_0002,0,0.11434608191769205,276.4088978116473,1670.0,approve,approve,"Applicant case_0002 was approve by the profit-based decision layer. The predicted default probability is 0.114. The decision score is 276.41, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
33,14400,RENT,0.0,VENTURE,D,2100,15.21,0.15,Y,10,case_0003,1,0.8589369511220628,1758.71064891423,1670.0,reject,reject,"Applicant case_0003 was reject by the profit-based decision layer. The predicted default probability is 0.859. The decision score is 1758.71, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
27,25000,RENT,0.0,PERSONAL,C,3600,13.16,0.14,Y,9,case_0004,0,0.5122349412541071,1612.9622142833314,1670.0,approve,reject,"Applicant case_0004 was approve by the profit-based decision layer. The predicted default probability is 0.512. The decision score is 1612.96, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
22,42000,MORTGAGE,6.0,MEDICAL,A,3000,6.03,0.07,N,2,case_0005,0,0.11715796346973822,191.7677660008903,1670.0,approve,approve,"Applicant case_0005 was approve by the profit-based decision layer. The predicted default probability is 0.117. The decision score is 191.77, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
22,54000,RENT,6.0,PERSONAL,A,9600,7.9,0.18,N,4,case_0006,0,0.29480400529731,2295.297808471656,1670.0,reject,approve,"Applicant case_0006 was reject by the profit-based decision layer. The predicted default probability is 0.295. The decision score is 2295.30, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
23,77004,MORTGAGE,6.0,MEDICAL,A,12000,5.79,0.16,N,3,case_0007,0,0.14035910826738787,1087.0308076328356,1670.0,approve,approve,"Applicant case_0007 was approve by the profit-based decision layer. The predicted default probability is 0.140. The decision score is 1087.03, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
30,138000,MORTGAGE,13.0,HOMEIMPROVEMENT,B,10000,10.99,0.07,N,10,case_0008,1,0.1366170898453856,417.31308019393475,1670.0,approve,approve,"Applicant case_0008 was approve by the profit-based decision layer. The predicted default probability is 0.137. The decision score is 417.31, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
25,28000,MORTGAGE,,MEDICAL,A,9600,6.03,0.34,N,3,case_0009,0,0.680561937767313,6348.478297100946,1670.0,reject,reject,"Applicant case_0009 was reject by the profit-based decision layer. The predicted default probability is 0.681. The decision score is 6348.48, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
