person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,actual_default,pred_default_prob,pred_default_thr_05,pred_default_thr_opt,approval_decision_thr_05,approval_decision_thr_opt,expected_loss_thr_05,expected_loss_thr_opt,interest_income,realized_net_loss_if_approved,realized_net_loss_thr_05,realized_net_loss_thr_opt
26,68399,MORTGAGE,7.0,PERSONAL,A,10500,6.91,0.15,N,3,0,0.11372505524164978,0,0,Approve,Approve,741246.5575000001,551.0762938679017,725.55,-725.55,-725.55,-725.55
32,70000,MORTGAGE,16.0,HOMEIMPROVEMENT,A,9000,7.14,0.13,N,10,0,0.18215881661279795,0,0,Approve,Approve,741246.5575000001,1113.8846050705656,642.6,-642.6,-642.6,-642.6
32,110888,MORTGAGE,0.0,MEDICAL,B,10400,9.91,0.09,N,6,0,0.11434608191769205,0,0,Approve,Approve,741246.5575000001,276.4088978116473,1030.64,-1030.64,-1030.64,-1030.64
33,14400,RENT,0.0,VENTURE,D,2100,15.21,0.15,Y,10,1,0.8589369511220628,1,1,Reject,Reject,741246.5575000001,1758.71064891423,319.41,2100.0,0.0,0.0
27,25000,RENT,0.0,PERSONAL,C,3600,13.16,0.14,Y,9,0,0.5122349412541071,1,0,Reject,Approve,741246.5575000001,1612.9622142833314,473.76,-473.76,0.0,-473.76
22,42000,MORTGAGE,6.0,MEDICAL,A,3000,6.03,0.07,N,2,0,0.11715796346973822,0,0,Approve,Approve,741246.5575000001,191.7677660008903,180.9,-180.9,-180.9,-180.9
22,54000,RENT,6.0,PERSONAL,A,9600,7.9,0.18,N,4,0,0.29480400529731,0,1,Approve,Reject,741246.5575000001,2295.297808471656,758.4,-758.4,-758.4,0.0
23,77004,MORTGAGE,6.0,MEDICAL,A,12000,5.79,0.16,N,3,0,0.14035910826738787,0,0,Approve,Approve,741246.5575000001,1087.0308076328356,694.8,-694.8,-694.8,-694.8
30,138000,MORTGAGE,13.0,HOMEIMPROVEMENT,B,10000,10.99,0.07,N,10,1,0.1366170898453856,0,0,Approve,Approve,741246.5575000001,417.31308019393475,1099.0,10000.0,10000.0,10000.0
25,28000,MORTGAGE,,MEDICAL,A,9600,6.03,0.34,N,3,0,0.680561937767313,1,1,Reject,Reject,741246.5575000001,6348.478297100946,578.88,-578.88,0.0,0.0
32,79872,MORTGAGE,4.0,DEBTCONSOLIDATION,C,12000,12.68,0.15,N,10,0,0.30762416159403094,0,1,Approve,Reject,741246.5575000001,2637.970863409849,1521.6,-1521.6,-1521.6,0.0
25,24996,RENT,3.0,DEBTCONSOLIDATION,C,7500,12.98,0.3,N,2,0,0.9041853723813169,1,1,Reject,Reject,741246.5575000001,6688.114752873089,973.5,-973.5,0.0,0.0
34,62000,MORTGAGE,18.0,HOMEIMPROVEMENT,B,28000,11.71,0.45,N,10,0,0.7664010589220257,1,1,Reject,Reject,741246.5575000001,20693.30544181026,3278.8,-3278.8,0.0,0.0
24,13000,RENT,1.0,MEDICAL,B,1200,11.89,0.09,N,2,0,0.4186931367508866,0,0,Approve,Approve,741246.5575000001,419.4909008526804,142.68,-142.68,-142.68,-142.68
22,69600,RENT,6.0,PERSONAL,A,12000,7.29,0.17,N,4,0,0.2153239067640061,0,1,Approve,Reject,741246.5575000001,1897.4522348052255,874.8,-874.8,-874.8,0.0
27,71020,RENT,1.0,MEDICAL,C,10000,12.53,0.14,N,6,0,0.43844328635522184,0,1,Approve,Reject,741246.5575000001,3680.802301355312,1253.0,-1253.0,-1253.0,0.0
26,70000,MORTGAGE,10.0,EDUCATION,B,5000,9.88,0.07,N,4,0,0.09312505095400868,0,0,Approve,Approve,741246.5575000001,17.62902994132361,494.00000000000006,-494.00000000000006,-494.00000000000006,-494.00000000000006
35,110000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,10000,8.59,0.09,N,6,0,0.111592695645337,0,0,Approve,Approve,741246.5575000001,352.7850820127144,859.0,-859.0,-859.0,-859.0
23,132000,MORTGAGE,7.0,PERSONAL,C,9000,11.34,0.07,Y,3,0,0.10990914884346106,0,0,Approve,Approve,741246.5575000001,80.75561690078598,1020.6,-1020.6,-1020.6,-1020.6
38,200000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,3000,7.68,0.01,N,12,0,0.07399589053543269,0,0,Approve,Approve,741246.5575000001,8.636324785661799,230.4,-230.4,-230.4,-230.4
22,120000,MORTGAGE,3.0,MEDICAL,A,22000,7.49,0.18,N,3,0,0.07665569575544122,0,0,Approve,Approve,741246.5575000001,164.93856208552256,1647.8,-1647.8,-1647.8,-1647.8
30,340000,MORTGAGE,2.0,HOMEIMPROVEMENT,F,25000,18.3,0.07,N,8,0,0.48677472973132446,0,1,Approve,Reject,741246.5575000001,9821.362631803922,4575.0,-4575.0,-4575.0,0.0
24,88494,OWN,8.0,MEDICAL,B,24000,,0.27,N,2,0,0.06478116647479658,0,0,Approve,Approve,741246.5575000001,-911.9851999109587,,,,
33,55000,RENT,1.0,EDUCATION,C,10725,13.16,0.2,N,6,0,0.4727963074395851,0,1,Approve,Reject,741246.5575000001,4326.6398335728545,1411.41,-1411.41,-1411.41,0.0
